Barcode	BL	CRL	Cell_ID	Name	Seeded	Signal_Seeded	Barcode	B03	C03	D03	E03	F03	G03	H03	I03	J03	K03	L03	M03	N03	O03	B14	C14	D14	E14	F14	G14	H14	I14	J14	K14	L14	M14	N14	O14
B13_1421_00173230	187.625	1345.71428571	1421	AU-565	6250	6092	B13_1421_00173230	416	476	36	24	132	340	776	208	544	168	256	16	592	680	148	708	760	788	1012	840	276	1216	224	236	820	164	424	220
B13_1421_00180580	64	12406.8571429	1421	AU-565	12500	10584	B13_1421_00180580	2260	4196	1836	220	3048	3488	5792	1596	2788	816	1732	180	5200	8684	756	6724	4520	14584	2280	8068	1604	8704	2104	1992	8268	648	2268	2756
B13_1421_00183420	38.125	6899.33333333	1421	AU-565	12500	10584	B13_1421_00183420	1828	2952	1280	172	1536	1164	2652	1184	2088	940	1336	172	3956	4568	736	3764	2584	2640	3884	5204	1032	4172	1160	824	3832	536	1132	1904
B15_1421_00173450	227.125	3949.23809524	1421	AU-565	3125	2652	B15_1421_00173450	76	704	32	20	232	152	1964	88	84	84	240	32	944	1760	56	632	764	1256	2184	800	224	1840	252	240	2252	60	728	108
B15_1421_00177040	96	22929.6190476	1421	AU-565	11563		B15_1421_00177040	1548	3624	980	248	5700	2684	10044	2832	728	824	980	260	7284	13724	360	5832	4540	5544	8196	9208	792	20536	1164	1056	13976	448	26040	3708
B15_1421_00180770	44.5	7477.23809524	1421	AU-565	3125	2652	B15_1421_00180770	744	2708	160	316	708	1436	1760	736	488	460	760	60	2592	3756	540	3396	2400	9516	1424	4784	516	5092	928	708	5384	416	1000	2436
B15_1421_00183620	24.5	3485.61904762	1421	AU-565	3125	2652	B15_1421_00183620	444	912	440	52	400	224	964	368	1052	216	312	64	2200	2336	316	1316	1256	1536	2020	2416	324	2268	472	176	2764	236	396	480
B17_1421_00177700	56.125	12431.3333333	1421	AU-565	5781		B17_1421_00177700	408	1552	132	64	872	556	3720	656	168	168	424	108	3556	8572	164	2220	2668	2500	7576	3956	308	11956	484	428	6244	188	2876	208
B23_1421_00173670	107.75	1460.38095238	1421	AU-565	6250	6092	B23_1421_00173670	512	1068	316	468	488	1176	28	232	444	168	80	432	364	120	904	1088	476	64	1216	368	360	888	376	264	1024	1456	292	32
B23_1421_00180960	70.125	15441.047619	1421	AU-565	12500	10584	B23_1421_00180960	6808	9672	2900	3944	5708	12388	876	1052	3772	2476	656	3756	2300	2440	7736	12308	3640	408	11856	3452	2316	7376	2840	1672	12668	11672	3292	340
B23_1421_00183820	55.75	13582.5714286	1421	AU-565	12500	10584	B23_1421_00183820	5456	10844	3120	4112	6420	9916	628	2408	3728	2344	840	3540	1932	2036	8228	8920	3900	892	8016	2856	1776	4832	2432	1100	9188	9900	2780	328
B25_1421_00173890	44.75	4296.95238095	1421	AU-565	3125	2652	B25_1421_00173890	968	2160	476	604	812	1668	52	180	372	76	112	264	72	36	1636	3460	444	72	2320	356	232	1824	392	276	2564	3212	256	64
B25_1421_00177260	79.625	21824.3809524	1421	AU-565	11563		B25_1421_00177260	5100	13528	1176	1720	2856	12556	216	672	1744	716	220	1396	612	156	9708	15284	1720	276	13480	1076	1048	4052	824	448	10712	12144	952	216
B25_1421_00181150	47.125	10653.7142857	1421	AU-565	3125	2652	B25_1421_00181150	3952	9564	1376	1440	2776	8008	340	704	1600	796	520	1464	984	348	6032	5820	1324	384	7780	564	884	4116	584	568	5780	7152	1304	204
B25_1421_00184020	29.625	5686.0952381	1421	AU-565	3125	2652	B25_1421_00184020	2048	4280	860	824	2116	4412	324	772	952	396	120	836	452	176	2784	4176	1316	164	2064	304	368	1952	464	152	3480	3568	692	116
B27_1421_00177480	74	17434.1904762	1421	AU-565	5781		B27_1421_00177480	4776	10516	704	792	2184	12728	220	912	1920	616	152	908	348	120	8056	10236	1656	228	12608	588	432	3728	532	328	9520	14124	596	180
B13_1422_00173240	170.125	1857.71428571	1422	BT-20	6250	6108	B13_1422_00173240	608	1084	312	256	748	928	1388	680	760	384	320	32	1140	612	1164	1996	1040	1832	1816	1420	448	1004	552	1016	1376	236	60	424
B13_1422_00180590	68.875	12518.952381	1422	BT-20	25000	19948	B13_1422_00180590	2856	6272	4176	788	3940	5672	8420	4276	4092	2412	1512	872	10668	5972	6064	10648	5212	12852	3968	7504	3176	5348	5116	8580	11132	2700	400	6612
B13_1422_00183430	89.125	16665.8095238	1422	BT-20	25000	19948	B13_1422_00183430	4256	9064	7968	3120	8264	8124	11996	8440	8048	7108	2668	520	13472	8732	9388	16876	7724	14576	15952	12192	3988	8384	6904	13532	15668	3120	704	3128
B15_1422_00173460	298.125	7195.42857143	1422	BT-20	3125	3392	B15_1422_00173460	448	2256	304	68	2464	1136	6028	284	272	436	360	76	3464	1624	220	2804	1856	3516	5176	1440	840	1052	448	3068	3348	68	88	188
B15_1422_00177050	108.75	24765.3333333	1422	BT-20	11563		B15_1422_00177050	1432	7480	3648	320	11820	9688	15604	7268	1320	1352	736	328	18212	9064	4176	9352	7336	12000	18524	8464	2096	7720	4172	11644	13516	412	24740	4336
B15_1422_00180780	63.125	10255.9047619	1422	BT-20	12500	11420	B15_1422_00180780	1004	6940	2132	564	1992	3144	7188	2644	1592	1368	1336	564	7856	2856	5252	6288	5564	10504	3664	6784	2896	5244	3804	6228	8708	896	452	5520
B15_1422_00183630	82.5	12035.2380952	1422	BT-20	12500	11420	B15_1422_00183630	2872	7500	4312	1224	4560	5008	8728	5620	4884	4920	980	232	9148	4620	5876	9952	7396	12916	12960	9612	2656	4824	3188	7808	12028	1048	264	6936
B17_1422_00177710	78	16297.9047619	1422	BT-20	5781		B17_1422_00177710	888	4320	532	124	4004	2808	8068	4140	264	552	472	140	7356	3040	3368	2484	3352	9240	13040	4348	1096	6800	1684	7248	8168	268	13120	2264
B23_1422_00173680	147.25	2800.28571429	1422	BT-20	6250	6108	B23_1422_00173680	1708	2232	700	416	848	1964	56	920	628	1196	988	1620	788	144	2236	2292	800	136	1624	824	112	1384	528	60	2020	2600	2012	412
B23_1422_00180970	92.875	19135.4285714	1422	BT-20	25000	19948	B23_1422_00180970	11936	11160	7796	7516	4076	11892	3096	7596	4744	7280	7000	8972	4980	1220	12536	20520	7316	3016	5140	7956	1952	12028	2864	1488	17716	19604	13432	2656
B23_1422_00183830	90.25	23937.9047619	1422	BT-20	25000	19948	B23_1422_00183830	18404	22712	7948	6244	8468	26864	8324	13760	8600	13276	9964	12260	5556	3188	15472	23648	9880	3684	5828	10072	1240	9940	4708	880	21648	22308	16984	4028
B25_1422_00173900	155.375	8477.42857143	1422	BT-20	3125	3392	B25_1422_00173900	3912	6980	984	840	696	4660	100	1124	1008	1668	1096	2196	144	120	5368	7448	964	116	1852	676	124	3516	924	152	4788	5820	1360	292
B25_1422_00177270	89.75	22492.6666667	1422	BT-20	11563		B25_1422_00177270	10872	14828	2816	1892	1748	13828	316	6760	2132	6520	2044	7248	644	272	13668	16044	2460	280	4028	2924	268	8236	1632	324	14792	17128	1168	644
B25_1422_00181160	59.5	13900.0952381	1422	BT-20	12500	11420	B25_1422_00181160	9520	10676	3580	2532	3488	12080	396	4304	3568	5660	3744	6668	1596	964	13144	13476	2844	548	4792	2392	680	6964	2208	544	11728	11644	9408	1120
B25_1422_00184030	97.625	19614.3809524	1422	BT-20	12500	11420	B25_1422_00184030	18000	14960	4140	2988	5448	15980	2972	9016	4624	6596	7508	7040	4892	1012	14044	23084	7676	1280	8740	3720	544	8772	3044	524	17140	20448	14712	3712
B27_1422_00177490	63.875	15349.8095238	1422	BT-20	5781		B27_1422_00177490	9804	8600	1280	928	1568	10200	232	5648	2008	3984	2004	3728	308	184	13376	10800	1444	184	2580	1208	172	6076	872	196	8504	10156	1076	260
B13_1423_00173250	202.375	9164.95238095	1423	BT-474	50000	29368	B13_1423_00173250	4104	5728	204	188	1500	5716	7300	2156	3420	968	3688	344	6528	6384	1336	9132	6000	7240	7468	5500	2724	7572	2292	2784	5904	2048	188	3280
B13_1423_00180600	205	47100.952381	1423	BT-474	50000	29368	B13_1423_00180600	16056	21076	8156	612	23196	9236	29460	2028	6880	6672	14304	1148	27872	28920	1360	38512	22324	51316	18864	21496	12572	31000	8468	14068	32556	828	1224	5756
B13_1423_00183440	169.875	35643.6190476	1423	BT-474	50000	29368	B13_1423_00183440	12860	18452	6532	1108	10820	18172	23292	7856	11496	12768	14236	1448	22100	23372	3232	28832	18540	23844	25040	22000	10048	26168	6100	9748	27016	4192	904	10440
B15_1423_00173470	447.75	31413.3333333	1423	BT-474	25000	20156	B15_1423_00173470	6072	10324	236	212	1328	836	20884	612	1676	1372	5208	392	14912	19376	544	23436	10700	19600	19956	11780	3480	19144	1476	4936	13872	324	344	380
B15_1423_00177060	324.625	68784.1904762	1423	BT-474	92500		B15_1423_00177060	14896	28756	1164	736	13708	1956	46944	1532	3104	1976	12660	936	41876	47936	1192	46432	25512	41412	45896	26708	8892	52156	8068	11812	38488	1156	66312	1476
B15_1423_00180790	93	17429.6190476	1423	BT-474	25000	20156	B15_1423_00180790	5284	8860	248	700	1812	1184	9624	720	744	1120	4172	384	9688	11036	800	15552	8316	20984	6768	11456	2028	13344	1512	4260	11380	712	796	2876
