Barcode	CellID	Filename	AssayID	ReadDate	ReadTime	ProtocolID	ProtocolName	Rows	Columns	Wells	ReaderSN	ExportSW	Notifications	Modified	Created	QCScore	PassFail	Manual Flag
B13_1409_00173390	1409	Breast_Set_1_3day_B13_1409_00173390_17812.csv	17812	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	11000		X
B13_1421_00173230	1421	Breast_Set_1_3day_B13_1421_00173230_17813.csv	17813	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		0
B13_1422_00173240	1422	Breast_Set_1_3day_B13_1422_00173240_17814.csv	17814	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		0
B13_1423_00173250	1423	Breast_Set_1_3day_B13_1423_00173250_17815.csv	17815	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1426_00173260	1426	Breast_Set_1_3day_B13_1426_00173260_17807.csv	17807	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1427_00173270	1427	Breast_Set_1_3day_B13_1427_00173270_17816.csv	17816	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1428_00173280	1428	Breast_Set_1_3day_B13_1428_00173280_17796.csv	17796	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		0
B13_1429_00173290	1429	Breast_Set_1_3day_B13_1429_00173290_17794.csv	17794	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1430_00173300	1430	Breast_Set_1_3day_B13_1430_00173300_17808.csv	17808	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		0
B13_1432_00174140	1432	Breast_Set_1_3day_B13_1432_00174140_17801.csv	17801	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1433_00173310	1433	Breast_Set_1_3day_B13_1433_00173310_17809.csv	17809	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		0
B13_1435_00173320	1435	Breast_Set_1_3day_B13_1435_00173320_17798.csv	17798	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1436_00173330	1436	Breast_Set_1_3day_B13_1436_00173330_17810.csv	17810	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1437_00173340	1437	Breast_Set_1_3day_B13_1437_00173340_17811.csv	17811	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		0
B13_1438_00173350	1438	Breast_Set_1_3day_B13_1438_00173350_17804.csv	17804	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1440_00173360	1440	Breast_Set_1_3day_B13_1440_00173360_17805.csv	17805	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		0
B13_1441_00173370	1441	Breast_Set_1_3day_B13_1441_00173370_17802.csv	17802	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1442_00173380	1442	Breast_Set_1_3day_B13_1442_00173380_17803.csv	17803	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1447_00173400	1447	Breast_Set_1_3day_B13_1447_00173400_17799.csv	17799	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1452_00173410	1452	Breast_Set_1_3day_B13_1452_00173410_17806.csv	17806	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1457_00173420	1457	Breast_Set_1_3day_B13_1457_00173420_17800.csv	17800	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		0
B13_1461_00173430	1461	Breast_Set_1_3day_B13_1461_00173430_17795.csv	17795	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B13_1462_00173440	1462	Breast_Set_1_3day_B13_1462_00173440_17797.csv	17797	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_1_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		0
B23_1409_00173830	1409	Breast_Set_2_3day_B23_1409_00173830_17791.csv	17791	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		X
B23_1421_00173670	1421	Breast_Set_2_3day_B23_1421_00173670_17786.csv	17786	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1422_00173680	1422	Breast_Set_2_3day_B23_1422_00173680_17777.csv	17777	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1423_00173690	1423	Breast_Set_2_3day_B23_1423_00173690_17778.csv	17778	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1426_00173700	1426	Breast_Set_2_3day_B23_1426_00173700_17779.csv	17779	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1427_00173710	1427	Breast_Set_2_3day_B23_1427_00173710_17775.csv	17775	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1428_00173720	1428	Breast_Set_2_3day_B23_1428_00173720_17773.csv	17773	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		X
B23_1429_00173730	1429	Breast_Set_2_3day_B23_1429_00173730_17771.csv	17771	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1430_00173740	1430	Breast_Set_2_3day_B23_1430_00173740_17776.csv	17776	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1432_00174120	1432	Breast_Set_2_3day_B23_1432_00174120_17783.csv	17783	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1433_00173750	1433	Breast_Set_2_3day_B23_1433_00173750_17772.csv	17772	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1435_00173760	1435	Breast_Set_2_3day_B23_1435_00173760_17782.csv	17782	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1436_00173770	1436	Breast_Set_2_3day_B23_1436_00173770_17774.csv	17774	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1437_00173780	1437	Breast_Set_2_3day_B23_1437_00173780_17790.csv	17790	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1438_00173790	1438	Breast_Set_2_3day_B23_1438_00173790_17784.csv	17784	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
B23_1440_00173800	1440	Breast_Set_2_3day_B23_1440_00173800_17785.csv	17785	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	10000		X
B23_1441_00173810	1441	Breast_Set_2_3day_B23_1441_00173810_17781.csv	17781	2012-10-22 00:00:00	00:00:00	00:00:00	Breast_Set_2_3day	16	24	384	1040530	Exported with EnVision Workstation version 1.12		2012-11-21 17:00:00	2012-11-21 17:00:00	0	1	0
