ReadDate	CellID	CellLine	Barcode	seeding density cells/ml
2012-10-22 00:00:00	1409	MCF10DCIS.COM	B23_1409_00173830	1562.5
2012-10-22 00:00:00	1409	MCF10DCIS.COM	B13_1409_00173390	1562.5
2012-10-22 00:00:00	1421	AU-565_HMS	B13_1421_00173230	6250
2012-10-22 00:00:00	1421	AU-565_HMS	B23_1421_00173670	6250
2012-10-22 00:00:00	1422	BT-20_HMS	B13_1422_00173240	6250
2012-10-22 00:00:00	1422	BT-20_HMS	B23_1422_00173680	6250
2012-10-22 00:00:00	1423	BT-474_HMS	B13_1423_00173250	50000
2012-10-22 00:00:00	1423	BT-474_HMS	B23_1423_00173690	50000
2012-10-22 00:00:00	1426	CAMA-1_HMS	B13_1426_00173260	25000
2012-10-22 00:00:00	1426	CAMA-1_HMS	B23_1426_00173700	25000
2012-10-22 00:00:00	1427	DU-4475_HMS	B13_1427_00173270	12500
2012-10-22 00:00:00	1427	DU-4475_HMS	B23_1427_00173710	12500
2012-10-22 00:00:00	1428	HCC-1187_HMS	B13_1428_00173280	25000
2012-10-22 00:00:00	1428	HCC-1187_HMS	B23_1428_00173720	25000
2012-10-22 00:00:00	1429	HCC-1395_HMS	B13_1429_00173290	12500
2012-10-22 00:00:00	1429	HCC-1395_HMS	B23_1429_00173730	12500
2012-10-22 00:00:00	1430	HCC-1419_HMS	B13_1430_00173300	25000
2012-10-22 00:00:00	1430	HCC-1419_HMS	B23_1430_00173740	25000
2012-10-22 00:00:00	1432	HCC-1500_HMS	B13_1432_00174140	50000
2012-10-22 00:00:00	1432	HCC-1500_HMS	B23_1432_00174120	50000
2012-10-22 00:00:00	1433	HCC-1569_HMS	B13_1433_00173310	12500
2012-10-22 00:00:00	1433	HCC-1569_HMS	B23_1433_00173750	12500
2012-10-22 00:00:00	1435	HCC-1806_HMS	B13_1435_00173320	6250
2012-10-22 00:00:00	1435	HCC-1806_HMS	B23_1435_00173760	6250
2012-10-22 00:00:00	1436	HCC-1937_HMS	B13_1436_00173330	6250
2012-10-22 00:00:00	1436	HCC-1937_HMS	B23_1436_00173770	6250
2012-10-22 00:00:00	1437	HCC-1954_HMS	B13_1437_00173340	6250
2012-10-22 00:00:00	1437	HCC-1954_HMS	B23_1437_00173780	6250
2012-10-22 00:00:00	1438	HCC-202_HMS	B13_1438_00173350	50000
2012-10-22 00:00:00	1438	HCC-202_HMS	B23_1438_00173790	50000
2012-10-22 00:00:00	1440	HCC-2218_HMS	B13_1440_00173360	25000
2012-10-22 00:00:00	1440	HCC-2218_HMS	B23_1440_00173800	25000
2012-10-22 00:00:00	1441	HCC-38_HMS	B13_1441_00173370	3125
2012-10-22 00:00:00	1441	HCC-38_HMS	B23_1441_00173810	3125
2012-10-22 00:00:00	1442	HCC-70_HMS	B13_1442_00173380	12500
2012-10-22 00:00:00	1442	HCC-70_HMS	B23_1442_00173820	12500
2012-10-22 00:00:00	1447	MCF7_HMS	B13_1447_00173400	3125
2012-10-22 00:00:00	1447	MCF7_HMS	B23_1447_00173840	3125
2012-10-22 00:00:00	1452	MDA-MB-361_HMS	B13_1452_00173410	50000
2012-10-22 00:00:00	1452	MDA-MB-361_HMS	B23_1452_00173850	50000
2012-10-22 00:00:00	1457	SK-BR-3_HMS	B13_1457_00173420	50000
2012-10-22 00:00:00	1457	SK-BR-3_HMS	B23_1457_00173860	50000
2012-10-22 00:00:00	1461	ZR-75-1_HMS	B13_1461_00173430	25000
2012-10-22 00:00:00	1461	ZR-75-1_HMS	B23_1461_00173870	25000
