Day	Daybefore	Daybefore	Daybefore	Daybefore	Daybefore	Daybefore	Daybefore	Daybefore	Daybefore	Daybefore	Daybefore	Daybefore	DayOf	DayOf	DayOf	DayOf	DayOf	DayOf	DayOf	DayOf	DayOf	DayOf	DayOf	DayOf
Cell line	100000	50000	25000	12500	6250	3125	1562.5	781.25	390.625	195.3125	97.65625	48.828125	100000	50000	25000	12500	6250	3125	1562.5	781.25	390.625	195.3125	97.65625	48.828125
AU-565	84756	47300	29556	14444	8612	4176	2284	1060	672	272	104	84	78860	33868	21608	10584	6092	2652	1404	552	392	172	68	52
BT-20	92112	38088	26820	13072	8596	5384	3628	2052	900	620	372	356	72860	35092	19948	11420	6108	3392	1980	1112	744	256	140	92
BT-474	82836	47224	33424	37436	12864	6636	3440	1908	940	352	168	148	69704	29368	20156	12512	6932	4188	2368	1236	664	336	120	104
CAMA-1	85252	43396	29908	18812	10032	4012	2620	1292	476	432	300	36	72368	36136	24120	12952	8176	3924	2012	1392	708	340	136	120
DU-4475	48628	25360	14120	8464	4748	3116	1332	748	268	272	176	16	30296	15196	10316	5628	2776	1352	1564	468	224	316	156	36
HCC-1187	74400	36416	25736	13608	5308	2628	1344	748	284	400	36	60	54812	25348	13292	7000	3436	1916	1140	456	228	148	52	28
HCC-1395	65484	34064	19244	11272	5548	3520	1784	976	668	272	116	44	50228	23240	12380	6964	4244	2160	1216	540	316	156	84	56
HCC-1419	155952	104004	66332	38984	20056	12424	7344	3988	2528	1332	832	440	120692	59540	38292	22396	12612	7700	3988	2016	708	404	324	172
HCC-1569	144672	85904	58744	34696	21928	12248	6532	3260	1904	1104	496	164	123860	60528	36672	22444	12168	6908	3436	2036	952	468	148	184
HCC-1806	120920	62460	36688	18444	9132	4760	2976	1528	724	472	500	120	62216	24168	16224	9460	5532	3224	1756	800	436	264	96	64
HCC-1937	122092	69608	44724	20860	10820	5188	2216	1756	500	200	252	120	125140	53420	34912	19488	12120	7332	4044	2080	1316	444	456	164
HCC-1954	93000	73356	43808	24388	12712	7300	3476	2064	1032	596	272	112	73392	34356	22712	12124	7208	4080	2128	1036	848	308	212	48
